,strategy_return,position,usdjpy_return
2017-05-01,-0.010438235075020619,3.0,-0.0034794116916735396
2017-06-01,0.03166771166822624,3.0,0.010555903889408746
2017-07-01,-0.04014857324079579,3.0,-0.013382857746931931
2017-08-01,-0.0010858926263188772,2.3998934512117374,-0.00045247534875791917
2017-09-01,0.043773851093373256,2.4091930417929603,0.018169507521404782
2017-10-01,0.008560416128472253,1.8199727167925648,0.004703595855853671
2017-11-01,-0.026390401693055843,3.0,-0.008796800564351948
2017-12-01,0.016688095598248624,2.141005398261401,0.007794513555080318
2018-02-01,-0.015418617227277704,1.2836886956943263,-0.012011180965442736
2018-03-01,-0.01141465937617022,1.2948502275687688,-0.008815428327647257
2018-04-01,0.046520249500204044,1.89134144316965,0.024596431103546257
2018-05-01,-0.005037333252229978,1.4237324395299755,-0.003538117916237815
2018-06-01,0.026226264103703583,1.6071624775884414,0.016318365112067745
2018-07-01,0.00917980126087204,1.9965217799094277,0.004597896879085628
2018-08-01,0.00013020357582963393,2.8919518215328828,4.5022733387245495e-05
2018-09-01,0.06373034975040315,3.0,0.02124344991680105
2018-10-01,-0.006960258135094531,2.586862976033922,-0.00269061724551245
2018-11-01,0.006997581323319028,2.203587805016272,0.0031755400476394247
2018-12-01,-0.06286629093341128,2.314094823328446,-0.02716668750980067
2019-02-01,0.03284069289513135,1.9027208483695344,0.01725985865098023
2019-03-01,-0.0025916030864567697,1.276943326960959,-0.002029536496834683
2019-04-01,0.01812049616963452,1.9276880660293512,0.009400118457421947
2019-05-01,-0.06182723008261976,2.9761554323032815,-0.02077419391861901
2019-06-01,-0.02789771706545407,1.894912764947411,-0.014722428167413981
2019-07-01,0.0,0.0,0.007563967438041663
2019-08-01,-0.037844147364202614,1.9342984402857293,-0.019564792369171524
2019-09-01,-0.028229288461075204,-1.9951365743162222,0.01414905065872496
2019-10-01,-0.012645938007872849,-1.6154451638227385,0.007828144397020509
2019-11-01,-0.010705398136689952,-1.610830237614151,0.006645888490736329
2019-12-01,0.017504929128602353,-3.0,-0.0058349763762007845
2020-02-01,-0.02157493599134308,-3.0,0.0071916453304476935
2020-03-01,0.0,-0.0,-0.014818529506957168
2020-04-01,0.0,-0.0,-0.013190197653111135
2020-05-01,-0.0,-0.0,0.009689495595475606
2020-06-01,0.0,-0.0,-0.0004923813431485513
2020-07-01,0.0,-0.0,-0.027019219068792566
2020-08-01,-0.0,-0.0,0.008138905226364512
2020-09-01,-0.0,-0.0,0.0012223224357617024
2020-10-01,0.0,-0.0,-0.010505002602242741
2020-11-01,0.013543244205275529,-3.0,-0.004514414735091843
2020-12-01,0.027699271585684415,-3.0,-0.009233090528561472
2021-02-01,-0.053611209974366705,-2.6777651261771296,0.02002087839978106
2021-03-01,-0.0709060156714233,-1.9212700146320356,0.03690580456230319
2021-04-01,0.028208548209617074,-2.2209434332478977,-0.01270115563833385
2021-05-01,-0.010541401672967625,-1.144568979967152,0.009209931299440033
2021-06-01,-0.0066351864103573275,-1.161220496237308,0.005713976313591829
2021-07-01,0.02498114086839707,-2.452285199823365,-0.010186882370042616
2021-08-01,-0.013653992607860366,-2.792260570095021,0.004889942132942027
2021-09-01,-0.05435485594611755,-3.0,0.018118285315372518
2021-10-01,-0.030591780326144086,-2.038286195869146,0.01500857945667411
2021-11-01,-0.004964183155970803,-3.0,0.0016547277186569342
2021-12-01,-0.03318871066290385,-3.0,0.011062903554301284
2022-02-01,0.0,0.0,0.00280229428577794
2022-03-01,0.0,0.0,0.055682006226156266
2022-04-01,0.0674196131618266,0.9359053483259672,0.07203678585918816
2022-05-01,-0.018459569411793338,0.7977232880687535,-0.02314031655824289
2022-06-01,0.03908634864407252,0.5672464895719564,0.06890540419838831
2022-07-01,-0.00856809214461817,0.5338989323606774,-0.0160481537333923
2022-08-01,0.018187959830852682,0.5636183376520247,0.03226999303575151
2022-09-01,0.027819994715140156,0.6774749428021811,0.04106424157928368
2022-10-01,0.021975158774534577,0.9387451184881239,0.023409079143789535
2022-11-01,-0.1840243327995943,3.0,-0.06134144426653143
2022-12-01,-0.02215394294063752,0.5273205477857468,-0.04201228841482352
2023-02-01,0.059963782825805674,1.3401880933714583,0.044742811193731136
2023-03-01,-0.014714750415881049,0.6437331132784606,-0.02285846434237393
2023-04-01,0.0034465186652200223,0.7638624488742629,0.004511962422422133
2023-05-01,0.038005388293300205,0.8489469741643436,0.04476768214023097
2023-06-01,0.03028001270545044,0.8486189086943678,0.03568152016791304
2023-07-01,-0.037982853139509026,1.3672682972893466,-0.027780102277520258
2023-08-01,0.0277135887313798,0.7303701000713626,0.037944582792575954
2023-09-01,0.017148028015552895,0.7737197739637308,0.02216309908651337
2023-10-01,-0.0012733660431463033,0.8413698214940885,-0.0015134439227747487
2023-11-01,-0.020197775517975428,1.4535344992611956,-0.013895628571761853
2023-12-01,-0.0601028316839868,1.5755832604962112,-0.03814640152057602
2024-02-01,0.01566721082027383,0.7024214914418717,0.02230457212821535
2024-03-01,0.003597160502545293,0.6912451484730799,0.005203885351660276
2024-04-01,0.05046746938718888,1.5680764852916473,0.03218431617371165
2024-05-01,0.008645196420652795,2.1147874612272295,0.004087974124660221
2024-06-01,0.043168622264299114,1.81453043284276,0.02379051984080993
2024-07-01,-0.09986193343187325,2.0015613776337013,-0.049892016576545184
2024-08-01,-0.03856339035092681,0.7567446861214547,-0.05095957865072809
2024-09-01,-0.0,0.0,-0.014542029386306887
2024-10-01,0.0,0.0,0.07298480661404039
2024-11-01,-0.0,0.0,-0.013250299266651
2024-12-01,-0.022157960487958882,-0.575452314253022,0.038505293903842386
2025-02-01,0.024299579534561265,-0.9166428779155454,-0.026509320172561357
2025-03-01,0.002144641753357622,-0.814508691208558,-0.00263304956289101
2025-04-01,0.11623587080116672,-2.3764474960365978,-0.0489116090277707
2025-05-01,-0.012973263202281577,-1.2473436651582674,0.010400712782419497
2025-06-01,-0.00475361282915461,-0.9261216242921281,0.005132817012871271
2025-07-01,-0.028652334361571916,-0.879326752597999,0.03258439968637106
2025-08-01,0.03234645083676341,-1.9814951617141943,-0.01632426435438805
2025-09-01,-0.014479434648491102,-1.1775217571799694,0.012296532578020214
2025-10-01,-0.041941418290288024,-1.1747961746479816,0.035701017074604824
2025-11-01,-0.01716194966247849,-1.1078947034413016,0.015490596361884101
2025-12-01,-0.0018774436940624897,-2.274569005411518,0.0008254063471346829
2026-02-01,-0.027856100270421333,-1.581946752344487,0.017608747089077337
